1.7465, 3.428, '1'
2.7475, 4.2488, '1'
0.6408, 7.1654, '1'
3.6903, 1.5333, '1'
3.3481, 5.8785, '1'
1.8764, 0.8468, '1'
4.9166, 1.8068, '1'
4.6263, 4.9867, '1'
3.4163, 3.2143, '1'
0.4642, 6.7321, '1'
0.5079, 5.4471, '1'
2.0784, 2.2995, '1'
2.9298, 0.8897, '1'
4.9431, 3.9005, '1'
4.8759, 2.1464, '1'
5.4225, 4.5937, '1'
1.9481, 5.9757, '1'
1.8649, 0.5141, '1'
3.8838, 4.3217, '1'
1.9157, 2.1421, '1'
2.2147, 3.7583, '1'
3.3058, 5.7942, '1'
3.4699, 6.6262, '1'
0.8672, 2.5809, '1'
3.0329, 4.0078, '1'
2.6525, 3.3123, '1'
3.423, 5.0314, '1'
0.2108, 5.7918, '1'
1.4311, 6.0459, '1'
4.8652, 1.5599, '1'
0.7712, 7.2402, '1'
3.5664, 6.9454, '1'
3.4457, 1.9645, '1'
1.8159, 5.2726, '1'
2.7138, 4.5074, '1'
2.6491, 0.7055, '1'
0.5465, 0.121, '1'
3.9169, 5.0518, '1'
3.7409, 5.6109, '1'
3.875, 3.5643, '1'
3.0813, 4.0418, '1'
4.5409, 3.5635, '1'
3.1027, 5.6307, '1'
1.7361, 4.0797, '1'
5.1602, 4.8389, '1'
1.3328, 2.5368, '1'
1.2335, 6.5918, '1'
3.0489, 3.1007, '1'
1.6238, 6.5002, '1'
4.6998, 1.1948, '1'
2.1533, 5.1252, '1'
1.8286, 6.3253, '1'
4.2127, 5.5298, '1'
4.6546, 3.6306, '1'
4.0324, 2.8761, '1'
0.9721, 5.0052, '1'
0.4164, 1.8661, '1'
0.2248, 4.2343, '1'
4.6942, 3.8697, '1'
6.0299, 5.0016, '1'
2.887, 7.8347, '1'
2.9652, 4.1341, '1'
3.4178, 4.8263, '1'
2.9618, 0.9624, '1'
1.6505, 1.1044, '1'
3.1472, 4.8571, '1'
2.3398, 4.3107, '1'
2.6829, 10.4033, '1'
4.0559, 4.0488, '1'
4.0179, 5.8403, '1'
1.2686, 7.8469, '1'
2.5249, 3.6175, '1'
2.9686, 2.9669, '1'
3.5205, 3.8829, '1'
0.0857, 4.5304, '1'
5.4801, 4.0124, '1'
3.2718, 1.2608, '1'
2.5246, 5.3802, '1'
2.4337, 7.8785, '1'
4.6642, 6.3902, '1'
2.4765, 5.079, '1'
1.403, 0.0655, '1'
3.0106, 4.0047, '1'
1.9225, 8.6984, '1'
3.6453, 3.6779, '1'
2.6798, 2.8779, '1'
5.6776, 7.2857, '1'
2.9303, 8.0475, '1'
3.1103, 4.2804, '1'
2.9223, 4.9114, '1'
3.2159, 1.3855, '1'
2.5843, 3.3625, '1'
2.5637, 3.6561, '1'
4.3613, 1.7781, '1'
3.2394, 3.6523, '1'
2.5689, 1.3118, '1'
3.0272, 4.5411, '1'
1.2547, 3.3352, '1'
3.0192, 3.8909, '1'
2.3608, 1.0197, '1'
4.2552, 4.0066, '1'
2.7715, 6.0718, '1'
3.4046, 5.5125, '1'
3.4729, 7.1746, '1'
4.2072, 5.6593, '1'
5.517, 5.2674, '1'
1.8279, 5.8864, '1'
3.1724, 7.3521, '1'
3.4939, 4.8581, '1'
1.3019, 5.532, '1'
2.6168, 7.8063, '1'
4.2845, 0.6228, '1'
4.8164, 4.8201, '1'
5.4294, 3.4517, '1'
3.5028, 3.7046, '1'
5.6743, 3.4656, '1'
4.3358, 4.8803, '1'
5.0348, 5.1528, '1'
2.8969, 4.7733, '1'
2.6746, 0.2412, '1'
3.3708, 4.5798, '1'
5.7922, 1.5625, '1'
0.70492, 5.2357, '1'
5.7832, 3.5422, '1'
2.5484, 4.5506, '1'
3.5594, 1.1377, '1'
4.0554, 4.6936, '1'
2.289, 2.7081, '1'
2.8946, 4.1495, '1'
2.0199, 2.5205, '1'
3.0491, 4.8517, '1'
3.2203, 3.1854, '1'
4.1081, 5.0475, '1'
3.2235, 8.1143, '1'
0.5113, 4.4173, '1'
4.3011, 3.1339, '1'
3.4988, 4.4609, '1'
1.8982, 4.8198, '1'
3.8065, 10.141, '1'
3.5225, 1.2095, '1'
0.2038, 3.8398, '1'
3.0562, 3.0181, '1'
3.2444, 6.8328, '1'
3.906, 2.6952, '1'
6.0469, 5.5181, '1'
2.8319, 1.0064, '1'
4.0586, 3.375, '1'
2.666, 5.1803, '1'
2.5267, 5.8167, '1'
0.3234, 1.8787, '1'
2.9697, 3.545, '1'
2.7328, 5.5174, '1'
3.0262, 3.8824, '1'
4.2004, 2.0033, '1'
2.6807, 4.0555, '1'
0.323, 6.4709, '1'
3.2724, 4.6728, '1'
2.4162, 3.3918, '1'
3.1527, 5.0209, '1'
0.8391, 6.4989, '1'
3.5112, 7.4897, '1'
2.1618, 3.0261, '1'
4.3629, 3.9575, '1'
2.5818, 7.8718, '1'
0.9154, 8.3945, '1'
