3.4023, 5.3059, '1'
6.5599, 0.84024, '0'
1.7465, 3.4280, '1'
12.0313, 9.2446, '0'
2.7475, 4.2488, '1'
6.8952, 9.8041, '0'
0.6408, 7.1654, '1'
5.0003, 1.471, '0'
3.6903, 1.5333, '1'
7.9445, 9.785, '0'
3.3481, 5.8785, '1'
10.7823, 2.752, '0'
1.8764, 0.8468, '1'
7.7408, 10.434, '0'
4.9166, 1.8068, '1'
8.6186, 17.0863, '0'
4.6263, 4.9867, '1'
8.5753, 17.4397, '0'
3.4163, 3.2143, '1'
7.0431, 19.2899, '0'
0.4642, 6.7321, '1'
9.5635, 0.80521, '0'
0.5079, 5.4471, '1'
5.6866, 6.0193, '0'
2.0784, 2.2995, '1'
6.7265, 7.8527, '0'
2.9298, 0.8897, '1'
4.9966, 2.3231, '0'
